Seq,Positions,,,
129,501;537,,,
130,,,,
131,317;374,384;454,,
132,534;573,,,
133,384;500,,,
134,399;439,,,
135,388;453,,,
136,79;121,,,
137,303;437,,,
138,407;446,,,
139,341;391,,,
140,385;613,,,
141,387;472,,,
142,0;110,391;453,,
143,257;352,,,
144,323;419,,,
145,217;262,420;477,,
146,374;413,417;484,495;542,546;613
147,,,,
148,,,,
149,36;86,390;517,,
150,410;483,,,
151,533;577,,,
152,500;592,,,
153,448;485,,,
154,257;331,,,
155,469;566,,,
156,572;613,,,
157,469;523,,,
158,304;341,,,
159,464;517,,,
160,31;76,,,
161,405;528,,,
162,318;436,,,
163,453;496,,,
164,546;583,,,
165,380;454,,,
166,0;38,401;491,,
167,408;504,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,304;373,503;558,,
173,0;47,335;391,539;586,
174,,,,
175,,,,
176,171;217,,,
177,398;442,454;518,,
178,,,,
179,222;464,,,
180,405;462,531;604,,
181,31;86,537;586,,
182,358;450,,,
183,230;277,283;322,,
184,482;583,,,
185,,,,
186,396;515,,,
187,332;462,,,
188,570;613,,,
189,227;342,,,
190,424;497,,,
191,48;98,565;613,,
192,395;493,,,
193,,,,
194,320;380,,,
195,,,,
196,168;276,,,
197,,,,
198,420;478,559;613,,
199,408;525,,,
200,436;516,,,
201,429;541,,,
202,244;325,,,
203,,,,
204,,,,
205,398;543,,,
206,,,,
207,406;499,,,
208,423;484,,,
209,348;396,,,
210,509;578,,,
211,490;531,,,
212,363;415,524;585,,
213,521;613,,,
214,0;56,,,
215,0;36,,,
216,199;316,,,
217,367;414,,,
218,362;447,456;613,,
219,307;385,530;576,,
220,362;413,423;544,,
221,,,,
222,527;609,,,
223,,,,
224,,,,
225,482;604,,,
226,230;284,290;424,,
227,353;492,,,
228,338;386,,,
229,370;410,,,
230,196;336,398;475,,
231,,,,
232,,,,
233,292;332,359;451,460;504,
234,272;326,424;551,,
235,495;575,,,
236,,,,
237,281;333,345;402,519;556,
238,,,,
239,147;193,,,
240,545;613,,,
241,400;504,,,
242,,,,
243,257;315,333;454,,
244,284;331,,,
245,,,,
246,162;212,,,
247,57;93,497;538,,
248,435;536,,,
249,356;446,,,
250,421;503,,,
251,,,,
252,166;206,230;355,,
253,395;460,,,
254,411;458,,,
255,301;349,354;479,,
256,386;474,,,
257,504;551,,,
258,225;299,398;481,,
259,,,,
260,,,,
261,378;440,,,
262,335;387,419;552,,
263,,,,
264,,,,
265,400;500,,,
266,559;613,,,
267,557;613,,,
268,404;527,,,
269,394;516,,,
270,242;322,,,
271,,,,
272,222;500,,,
273,301;357,,,
274,374;461,,,
275,337;493,527;613,,
276,327;474,522;570,,
277,455;506,,,
278,,,,
279,33;97,395;449,,
280,346;432,489;539,,
281,327;366,,,
282,402;524,,,
283,421;533,,,
284,136;230,347;391,,
285,0;59,,,
286,490;565,,,
287,394;460,514;556,,
288,520;601,,,
289,303;505,,,
290,404;461,,,
291,536;586,,,
292,,,,
293,280;336,512;559,,
294,332;520,,,
295,416;469,,,
296,352;427,431;483,542;591,
297,484;547,,,
298,193;252,,,
299,,,,
300,425;518,,,
301,,,,
302,209;245,451;487,,
303,417;455,,,
304,477;541,,,
305,112;161,,,
306,,,,
307,415;452,,,
308,,,,
309,,,,
310,357;455,,,
311,356;471,,,
