Seq,Positions
227,413-515
228,48-208,353-540
229,473-579
230,316-444
231,282-449,511-611
232,
233,359-493
234,0-350
235,464-537
236,
237,321-459,501-572
238,265-476
239,
240,309-471
241,395-468
242,
243,224-316,369-453
244,187-467
245,
246,354-481
247,383-480
248,222-443
249,280-362
250,390-564
251,271-554
252,131-203,309-507
253,375-523
254,464-551
255,371-533
256,205-385,409-481
257,221-382
258,282-365,463-553
259,
260,359-459
261,314-488
262,305-459
263,359-611
264,347-473
265,328-465
266,188-467
267,292-473
268,178-581
269,0-85
270,130-216,357-472
271,275-428,440-530
272,325-499
273,265-539
274,335-464
275,355-574
276,246-517
277,55-134,218-314
278,136-232,388-508
279,355-495
280,359-467
281,166-248
282,326-490,503-589
283,331-439
284,230-405
285,342-452
286,
287,318-448,455-551
288,323-455
289,110-473
290,368-447,469-597
291,
292,319-424
293,172-361,480-587
294,225-356,401-504
295,110-237,485-564
296,65-156,177-257,376-509
297,486-562
298,366-513
299,280-401,428-524
300,457-610
301,367-611
302,351-500
303,343-448
304,234-511
305,246-495
306,252-431
307,251-465
308,41-135,189-381
309,0-151,301-465
310,370-604
311,186-513
312,515-611
313,
314,
315,406-528
316,323-518
317,0-127
318,88-177,417-509
319,276-480
320,207-484
321,307-529
322,280-440
323,290-487
324,441-581
325,294-449
326,0-343
327,323-461
328,204-304
329,363-484
330,
331,327-434
332,
333,362-606
334,366-484
335,231-317,339-481
336,82-158,286-455
337,324-545
338,38-150
339,219-313
340,368-484
341,326-463,471-574
342,192-301,482-568
343,369-497
344,0-129,344-454
345,321-526
346,349-494
347,348-460
348,243-319,352-473
349,114-435,516-611
350,127-202,524-611
351,169-551
352,361-450
353,
354,340-451
355,267-401,441-539
356,326-471
357,309-448
358,
359,0-129,398-494
360,0-125
361,340-436
362,277-440,448-576
363,259-430
364,304-484
365,156-450
366,328-563
367,368-489
368,305-469
369,258-472
370,271-468
371,397-512
372,486-599
373,241-495
374,291-468
375,193-272
376,356-609
377,9-89,338-479
378,494-586
379,126-215,362-442
380,273-461
381,395-483
382,
383,340-477
384,319-445
385,0-78,179-438
386,301-524
387,386-480
388,365-527
389,274-456
390,304-430,490-569
391,332-436
392,347-580
393,252-416
394,
395,327-456
396,346-463
397,135-290,390-469
398,206-426
399,276-477,506-611
400,325-531
401,219-324,356-469
402,251-374
403,308-467
404,330-477
405,252-444
406,334-474,486-576
407,212-521
408,56-127,136-330
409,246-487
410,49-125,242-497
411,235-487
412,229-303
413,206-314,347-477
414,312-464
415,43-124,224-431
416,148-362
417,319-465
418,274-482
419,316-429
420,34-167,327-442
421,242-328,357-471
422,0-119,398-532
423,120-258,363-504
424,305-379
425,364-548
426,292-412
427,305-447
428,152-257,312-433
429,249-462
430,292-460
431,231-456,518-611
432,217-332,338-423
433,310-472
434,295-477
435,260-444
436,400-579
437,0-85,364-451
438,294-492
439,
440,291-522,533-611
441,244-477
442,309-380,400-475
443,115-244,277-480
444,329-470
445,215-468
446,178-546
447,199-472
448,352-425
449,0-84,446-611
450,249-321
451,199-531
452,243-336,346-440
453,382-462
454,299-442
455,142-358
456,261-490
457,226-451
458,330-484
459,301-534
460,41-395,427-604
461,326-459
462,332-467
463,319-531
464,326-611
465,294-461
466,290-482
467,188-492
468,29-100,148-283,349-484
469,289-437
470,232-361,425-497
471,518-611
472,295-455
473,302-402
474,339-474
475,441-521
476,333-476
477,345-475
478,213-448
479,348-547
480,0-93,368-486
481,315-493
482,368-504
483,62-144,378-516
484,161-271,348-437
485,251-436
486,276-458
487,321-526
488,376-471
489,418-493,499-606
490,237-499
491,386-474
492,260-360,362-470
493,0-75,231-358,381-480
494,
495,149-270
496,172-322,335-450
497,320-586
498,307-507
499,291-433
500,384-477
