Organism,Seq,Positions,,,,,
Bacillus,72,197-256,398-503,546-613,,,
Bacillus,73,54-93,165-226,332-442,509-613,,
Bacillus,74,25-115,358-431,,,,
Bacillus,75,41-119,127-228,546-613,,,
Bacillus,76,328-551,,,,,
Bacillus,77,223-315,322-437,,,,
Bacillus,78,0-60,349-510,,,,
Bacillus,79,109-260,550-613,,,,
Bacillus,80,51-120,468-522,,,,
Bacillus,81,198-445,,,,,
Bacillus,82,294-523,,,,,
Bacillus,83,0-57,192-484,,,,
Bacillus,84,356-436,,,,,
Bacillus,85,339-480,,,,,
Bacillus,86,279-315,408-454,477-550,575-613,,
Bacillus,87,325-411,557-613,,,,
Bacillus,88,0-74,340-434,,,,
Bacillus,89,230-549,577-613,,,,
Bacillus,90,302-434,536-586,,,,
Bacillus,91,261-373,391-550,,,,
Bacillus,92,228-553,,,,,
Bacillus,93,149-211,292-361,402-473,,,
Bacillus,94,259-516,,,,,
Bacillus,95,292-494,,,,,
Bacillus,96,270-468,481-603,,,,
Bacillus,97,55-289,293-428,,,,
Bacillus,98,354-450,,,,,
Bacillus,99,346-432,529-589,,,,
Bacillus,100,342-419,430-500,510-587,,,
Bacillus,101,18-78,185-302,371-456,,,
Bacillus,102,286-429,433-556,,,,
Bacillus,103,76-117,303-381,539-611,,,
Bacillus,104,184-299,,,,,
Bacillus,105,405-485,,,,,
Bacillus,106,327-407,,,,,
Bacillus,107,257-485,,,,,
Bacillus,108,247-327,352-581,,,,
Bacillus,109,161-314,389-517,,,,
Bacillus,110,199-253,318-470,,,,
Bacillus,111,159-212,280-417,559-613,,,
Bacillus,112,351-533,,,,,
Bacillus,113,218-291,353-522,,,,
Bacillus,114,374-437,441-479,539-595,,,
Bacillus,115,185-477,,,,,
Bacillus,116,385-462,468-504,,,,
Bacillus,117,346-547,,,,,
Bacillus,118,325-434,,,,,
Bacillus,119,319-515,519-565,,,,
Bacillus,120,75-134,324-387,391-482,,,
Bacillus,121,378-488,,,,,
Bacillus,122,363-474,,,,,
Bacillus,123,227-326,342-442,,,,
Bacillus,124,0-117,311-437,470-560,,,
Bacillus,125,307-437,495-532,,,,
Bacillus,126,237-492,,,,,
Bacillus,127,321-510,,,,,
Bacillus,128,161-261,342-474,569-613,,,
Bacillus,129,0-48,332-469,494-568,,,
Bacillus,130,347-450,512-613,,,,
Bacillus,131,4-122,222-274,382-499,510-550,,
Bacillus,132,352-459,,,,,
Bacillus,133,48-209,222-260,324-425,,,
Bacillus,134,330-402,467-508,,,,
Bacillus,135,79-178,219-255,406-468,,,
Bacillus,136,191-243,341-507,,,,
Bacillus,137,317-379,384-423,,,,
Bacillus,138,468-551,,,,,
Bacillus,139,396-551,,,,,
Bacillus,140,269-482,,,,,
Bacillus,141,351-560,,,,,
Bacillus,142,334-613,,,,,
Bacillus,143,378-494,,,,,
Bacillus,144,394-448,,,,,
Bacillus,145,88-142,,,,,
Bacillus,146,142-241,,,,,
Bacillus,147,77-132,317-468,495-583,,,
Bacillus,148,,,,,,
Bacillus,149,273-355,424-481,,,,
Bacillus,150,383-450,,,,,
Bacillus,151,162-476,,,,,
Bacillus,152,0-84,341-430,,,,
Bacillus,153,22-88,370-495,501-545,560-613,,
Bacillus,154,339-493,,,,,
Bacillus,155,58-300,379-469,,,,
Bacillus,156,238-540,,,,,
Bacillus,157,361-537,,,,,
Bacillus,158,0-159,233-284,339-501,,,
Bacillus,159,376-539,,,,,
Bacillus,160,503-557,,,,,
Bacillus,161,323-442,453-525,,,,
Bacillus,162,307-391,,,,,
Bacillus,163,333-458,,,,,
Bacillus,164,329-541,,,,,
Bacillus,165,203-459,,,,,
Bacillus,166,4-48,210-260,266-486,,,
Bacillus,167,328-444,,,,,
Bacillus,168,49-162,371-613,,,,
Bacillus,169,164-235,404-478,,,,
Bacillus,170,208-420,,,,,
Bacillus,171,330-438,536-588,,,,
Bacillus,172,450-544,,,,,
Bacillus,173,0-57,318-586,,,,
Bacillus,174,395-464,,,,,
Bacillus,175,20-86,271-320,326-463,,,
Bacillus,176,0-125,188-253,261-477,,,
Bacillus,177,378-505,,,,,
Bacillus,178,108-184,227-296,345-431,,,
Bacillus,179,348-525,,,,,
Bacillus,180,172-424,,,,,
Bacillus,181,404-493,,,,,
Bacillus,182,271-423,,,,,
Bacillus,183,97-150,299-469,567-611,,,
Bacillus,184,293-414,,,,,
Bacillus,185,342-534,555-613,,,,
Bacillus,186,371-443,465-501,,,,
Bacillus,187,228-304,330-464,,,,
Bacillus,188,2-61,192-275,327-495,539-613,,
Bacillus,189,349-451,,,,,
Bacillus,190,16-218,435-479,,,,
Bacillus,191,0-45,140-191,330-400,,,
Bacillus,192,160-203,388-473,,,,
Bacillus,193,322-529,,,,,
Bacillus,194,335-613,,,,,
Bacillus,195,0-40,115-180,297-333,338-464,,
Bacillus,196,323-371,436-483,566-613,,,
Bacillus,197,11-90,358-461,505-599,,,
Bacillus,198,299-422,431-533,,,,
Bacillus,199,212-320,329-456,,,,
Bacillus,200,209-460,,,,,
Bacillus,201,211-267,323-407,,,,
Bacillus,202,336-446,482-580,,,,
Bacillus,203,243-318,402-518,,,,
Bacillus,204,353-444,478-527,,,,
Bacillus,205,290-484,,,,,
Bacillus,206,0-56,360-535,,,,
Bacillus,207,348-448,,,,,
Bacillus,208,265-329,336-518,,,,
Bacillus,209,269-351,363-582,,,,
Bacillus,210,64-134,398-580,,,,
Bacillus,211,154-252,343-492,568-612,,,
Bacillus,212,324-377,395-452,456-532,,,
Bacillus,213,242-422,,,,,
Bacillus,214,155-213,333-442,532-580,,,
Bacillus,215,405-517,,,,,
Bacillus,216,11-70,235-292,,,,
Bacillus,217,259-481,,,,,
Bacillus,218,355-567,,,,,
Bacillus,219,381-613,,,,,
Bacillus,220,106-146,202-450,,,,
Bacillus,221,,,,,,
Bacillus,222,321-417,,,,,
Bacillus,223,0-73,348-448,,,,
Bacillus,224,528-566,,,,,
Bacillus,225,143-207,,,,,
Bacillus,226,0-44,331-418,,,,
Bacillus,227,297-352,414-517,,,,
Bacillus,228,49-210,354-542,,,,
Bacillus,229,382-435,503-581,,,,
Bacillus,230,317-446,,,,,
Bacillus,231,163-202,285-451,512-613,,,
Bacillus,232,227-264,441-484,,,,
Bacillus,233,360-495,,,,,
Bacillus,234,0-352,,,,,
Bacillus,235,467-540,,,,,
Bacillus,236,181-229,244-288,,,,
Bacillus,237,322-461,502-574,,,,
Bacillus,238,266-478,,,,,
Bacillus,239,192-249,426-477,,,,
Bacillus,240,253-293,310-473,,,,
Bacillus,241,396-470,553-604,,,,
Bacillus,242,370-420,,,,,
Bacillus,243,225-318,370-455,,,,
Bacillus,244,188-469,,,,,
Bacillus,245,0-36,,,,,
Bacillus,246,107-149,355-485,544-600,,,
Bacillus,247,303-342,384-482,558-613,,,
Bacillus,248,223-445,,,,,
Bacillus,249,281-364,408-477,,,,
Bacillus,250,392-566,,,,,
Bacillus,251,272-556,,,,,
Bacillus,252,132-205,323-509,,,,
Bacillus,253,247-287,376-525,565-613,,,
Bacillus,254,0-70,465-553,,,,
Bacillus,255,371-535,,,,,
Bacillus,256,206-387,410-483,,,,
Bacillus,257,167-217,222-384,485-538,,,
Bacillus,258,283-367,464-500,504-555,,,
Bacillus,259,405-472,,,,,
Bacillus,260,360-461,553-613,,,,
Bacillus,261,315-490,,,,,
Bacillus,262,306-449,,,,,
Bacillus,263,360-613,,,,,
Bacillus,264,348-475,,,,,
Bacillus,265,132-202,213-278,329-467,516-572,,
Bacillus,266,189-469,,,,,
Bacillus,267,27-83,175-219,293-475,,,
Bacillus,268,179-583,,,,,
Bacillus,269,0-87,351-405,,,,
Bacillus,270,131-218,282-349,358-474,481-551,,
Bacillus,271,276-430,441-532,,,,
Bacillus,272,0-62,326-501,,,,
Bacillus,273,266-541,,,,,
Bacillus,274,82-121,336-466,,,,
Bacillus,275,356-576,,,,,
Bacillus,276,247-519,,,,,
Bacillus,277,56-136,219-316,410-474,,,
Bacillus,278,137-234,389-510,,,,
Bacillus,279,96-143,357-497,,,,
Bacillus,280,170-214,360-469,,,,
Bacillus,281,167-250,509-572,,,,
Bacillus,282,352-492,504-591,,,,
Bacillus,283,332-441,,,,,
Bacillus,284,231-407,495-531,,,,
Bacillus,285,247-308,343-454,,,,
Bacillus,286,268-316,420-480,563-603,,,
Bacillus,287,319-450,456-514,,,,
Bacillus,288,236-297,324-457,,,,
Bacillus,289,111-475,,,,,
Bacillus,290,369-449,470-599,,,,
Bacillus,291,518-564,,,,,
Bacillus,292,320-426,432-487,,,,
Bacillus,293,0-57,173-363,481-588,,,
Bacillus,294,226-358,402-506,,,,
Bacillus,295,0-49,111-239,490-566,,,
Bacillus,296,66-158,178-259,377-511,,,
Bacillus,297,83-122,181-236,330-376,397-465,487-564,
Bacillus,298,154-200,239-294,367-491,,,
Bacillus,299,281-403,429-526,,,,
Bacillus,300,458-613,,,,,
Bacillus,301,142-187,367-613,,,,
Bacillus,302,352-502,,,,,
Bacillus,303,344-450,,,,,
Bacillus,304,235-513,,,,,
Bacillus,305,247-497,554-613,,,,
Bacillus,306,253-433,515-572,,,,
Bacillus,307,252-467,,,,,
Bacillus,308,42-137,189-383,,,,
Bacillus,309,0-153,302-467,495-556,,,
Bacillus,310,371-606,,,,,
Bacillus,311,187-515,,,,,
Bacillus,312,397-459,516-613,,,,
Bacillus,313,413-475,477-522,,,,
Bacillus,314,373-434,,,,,
Bacillus,315,288-336,407-530,,,,
Bacillus,316,265-303,324-521,563-606,,,
Bacillus,317,0-85,89-129,323-394,,,
Bacillus,318,0-40,88-179,418-511,,,
Bacillus,319,277-482,,,,,
Bacillus,320,0-61,208-486,,,,
Bacillus,321,95-151,190-236,308-531,,,
Bacillus,322,281-442,,,,,
Bacillus,323,291-489,,,,,
Bacillus,324,442-583,,,,,
Bacillus,325,19-62,295-451,472-528,,,
Bacillus,326,0-345,401-469,,,,
Bacillus,327,324-463,,,,,
Bacillus,328,205-307,435-506,,,,
Bacillus,329,364-486,,,,,
Bacillus,330,338-385,,,,,
Bacillus,331,224-264,328-436,,,,
Bacillus,332,,,,,,
Bacillus,333,78-137,256-301,363-608,,,
Bacillus,334,367-486,,,,,
Bacillus,335,232-319,340-483,,,,
Bacillus,336,92-160,287-457,,,,
Bacillus,337,325-547,,,,,
Bacillus,338,39-152,159-204,466-531,,,
Bacillus,339,220-315,,,,,
Bacillus,340,299-359,369-485,,,,
Bacillus,341,250-296,327-465,472-576,,,
Bacillus,342,193-303,485-570,,,,
Bacillus,343,169-215,313-361,370-499,,,
Bacillus,344,0-131,344-456,,,,
Bacillus,345,124-168,320-528,,,,
Bacillus,346,194-238,350-496,,,,
Bacillus,347,349-462,472-524,,,,
Bacillus,348,244-321,353-475,,,,
Bacillus,349,115-434,517-613,,,,
Bacillus,350,128-204,525-613,,,,
Bacillus,351,170-553,,,,,
Bacillus,352,361-452,479-532,,,,
Bacillus,353,359-427,,,,,
Bacillus,354,235-284,341-453,,,,
Bacillus,355,268-403,442-541,,,,
Bacillus,356,327-473,,,,,
Bacillus,357,30-74,310-450,,,,
Bacillus,358,,,,,,
Bacillus,359,0-131,137-182,399-496,,,
Bacillus,360,0-127,132-191,314-353,,,
Bacillus,361,257-313,341-438,480-517,553-613,,
Bacillus,362,93-130,278-438,449-578,,,
Bacillus,363,191-248,260-432,,,,
Bacillus,364,305-483,,,,,
Bacillus,365,157-452,,,,,
Bacillus,366,329-565,,,,,
Bacillus,367,369-491,,,,,
Bacillus,368,306-471,,,,,
Bacillus,369,259-474,,,,,
Bacillus,370,272-470,,,,,
Bacillus,371,233-293,435-514,572-613,,,
Bacillus,372,283-324,409-462,487-602,,,
Bacillus,373,85-149,242-497,,,,
Bacillus,374,292-470,,,,,
Bacillus,375,194-274,,,,,
Bacillus,376,303-348,357-611,,,,
Bacillus,377,13-91,339-481,,,,
Bacillus,378,495-588,,,,,
Bacillus,379,127-217,251-287,363-444,,,
Bacillus,380,274-463,,,,,
Bacillus,381,190-249,396-485,,,,
Bacillus,382,370-432,,,,,
Bacillus,383,190-246,341-479,,,,
Bacillus,384,320-447,,,,,
Bacillus,385,0-80,180-440,,,,
Bacillus,386,197-255,302-526,,,,
Bacillus,387,306-343,387-482,,,,
Bacillus,388,366-529,,,,,
Bacillus,389,275-458,,,,,
Bacillus,390,305-432,491-571,,,,
Bacillus,391,333-438,,,,,
Bacillus,392,348-582,,,,,
Bacillus,393,251-418,446-492,,,,
Bacillus,394,440-509,,,,,
Bacillus,395,328-458,,,,,
Bacillus,396,347-465,545-605,,,,
Bacillus,397,58-109,136-292,391-471,,,
Bacillus,398,5-50,206-428,,,,
Bacillus,399,277-479,507-613,,,,
Bacillus,400,15-71,327-533,,,,
Bacillus,401,220-326,357-471,,,,
Bacillus,402,252-376,,,,,
Bacillus,403,309-469,492-530,,,,
Bacillus,404,331-479,,,,,
Bacillus,405,253-446,,,,,
Bacillus,406,335-476,487-576,,,,
Bacillus,407,213-523,,,,,
Bacillus,408,57-129,137-332,,,,
Bacillus,409,247-489,,,,,
Bacillus,410,50-127,243-369,373-499,,,
Bacillus,411,181-218,236-489,,,,
Bacillus,412,230-305,346-403,,,,
Bacillus,413,207-316,348-479,,,,
Bacillus,414,313-466,,,,,
Bacillus,415,44-126,225-433,,,,
Bacillus,416,149-364,381-438,,,,
Bacillus,417,320-467,,,,,
Bacillus,418,275-484,,,,,
Bacillus,419,317-431,,,,,
Bacillus,420,35-169,328-444,,,,
Bacillus,421,243-330,358-473,,,,
Bacillus,422,0-121,399-534,,,,
Bacillus,423,121-260,364-506,,,,
Bacillus,424,306-381,,,,,
Bacillus,425,365-550,,,,,
Bacillus,426,293-414,452-499,,,,
Bacillus,427,306-450,,,,,
Bacillus,428,153-259,313-435,,,,
Bacillus,429,250-465,504-543,,,,
Bacillus,430,293-462,,,,,
Bacillus,431,0-59,232-458,519-613,,,
Bacillus,432,218-334,339-425,477-540,,,
Bacillus,433,311-474,,,,,
Bacillus,434,296-479,,,,,
Bacillus,435,261-446,511-566,,,,
Bacillus,436,346-398,401-539,543-581,,,
Bacillus,437,0-87,365-453,,,,
Bacillus,438,295-494,,,,,
Bacillus,439,320-387,493-551,,,,
Bacillus,440,156-194,292-526,534-613,,,
Bacillus,441,0-68,108-150,245-475,492-539,,
Bacillus,442,312-382,401-467,,,,
Bacillus,443,116-246,278-482,,,,
Bacillus,444,330-472,,,,,
Bacillus,445,216-470,,,,,
Bacillus,446,179-548,,,,,
Bacillus,447,200-474,,,,,
Bacillus,448,353-427,476-524,,,,
Bacillus,449,0-86,447-528,530-613,,,
Bacillus,450,250-323,376-436,,,,
Bacillus,451,200-533,,,,,
Bacillus,452,244-338,347-442,,,,
Bacillus,453,383-465,,,,,
Bacillus,454,300-444,,,,,
Bacillus,455,143-360,,,,,
Bacillus,456,262-492,,,,,
Bacillus,457,227-449,,,,,
Bacillus,458,331-486,,,,,
Bacillus,459,211-277,302-535,,,,
Bacillus,460,42-397,428-606,,,,
Bacillus,461,197-248,327-461,,,,
Bacillus,462,333-469,,,,,
Bacillus,463,320-533,,,,,
Bacillus,464,224-261,327-613,,,,
Bacillus,465,295-463,,,,,
Bacillus,466,291-484,,,,,
Bacillus,467,189-494,,,,,
Bacillus,468,30-102,149-282,350-486,562-601,,
Bacillus,469,290-439,532-571,,,,
Bacillus,470,233-363,426-499,,,,
Bacillus,471,519-613,,,,,
Bacillus,472,109-145,296-457,,,,
Bacillus,473,118-169,231-270,303-404,,,
Bacillus,474,340-476,,,,,
Bacillus,475,442-524,,,,,
Bacillus,476,170-212,334-478,,,,
Bacillus,477,346-477,,,,,
Bacillus,478,214-449,,,,,
Bacillus,479,159-217,349-419,423-549,,,
Bacillus,480,0-95,293-347,369-488,,,
Bacillus,481,316-495,,,,,
Bacillus,482,369-506,,,,,
Bacillus,483,63-146,378-494,,,,
Bacillus,484,162-273,349-438,,,,
Bacillus,485,252-438,,,,,
Bacillus,486,277-460,,,,,
Bacillus,487,255-315,322-528,,,,
Bacillus,488,377-473,,,,,
Bacillus,489,183-223,419-495,500-608,,,
Bacillus,490,238-501,,,,,
Bacillus,491,387-476,,,,,
Bacillus,492,40-106,261-363,367-472,,,
Bacillus,493,0-77,88-127,232-360,382-483,,
Bacillus,494,244-292,,,,,
Bacillus,495,150-272,346-410,,,,
Bacillus,496,173-324,336-452,506-543,,,
Bacillus,497,321-588,,,,,
Bacillus,498,307-509,,,,,
Bacillus,499,292-435,,,,,
Bacillus,500,385-478,,,,,
Bacillus,501,363-460,,,,,
Bacillus,502,0-319,326-474,,,,
Bacillus,503,88-166,199-320,,,,
Bacillus,504,0-143,404-471,,,,
Bacillus,505,303-491,,,,,
Bacillus,506,360-480,488-531,552-613,,,
Bacillus,507,168-219,311-432,436-515,,,
Bacillus,508,15-87,265-380,384-430,434-494,,
Bacillus,509,87-128,286-353,433-575,,,
Bacillus,510,339-473,,,,,
Bacillus,511,377-490,,,,,
Bacillus,512,221-468,,,,,
Bacillus,513,252-312,366-482,489-545,,,
Bacillus,514,277-490,,,,,
Bacillus,515,40-86,270-471,,,,
Bacillus,516,384-449,482-576,,,,
Bacillus,517,79-126,320-502,,,,
Bacillus,518,355-483,494-605,,,,
Bacillus,519,445-487,554-613,,,,
Bacillus,520,0-187,311-364,,,,
Bacillus,521,273-329,,,,,
Bacillus,522,283-546,,,,,
Bacillus,523,245-344,464-530,,,,
Bacillus,524,272-586,,,,,
Bacillus,525,226-267,342-469,525-587,,,
Bacillus,526,224-380,,,,,
Bacillus,527,362-451,,,,,
Bacillus,528,127-175,347-423,443-613,,,
Bacillus,529,48-90,353-453,516-584,,,
Bacillus,530,0-49,100-151,,,,
Bacillus,531,235-315,325-571,,,,
Bacillus,532,262-476,,,,,
Bacillus,533,154-240,264-499,,,,
Bacillus,534,423-515,,,,,
Bacillus,535,235-327,514-570,,,,
Bacillus,536,364-560,,,,,
Bacillus,537,139-256,331-460,,,,
Bacillus,538,309-445,510-591,,,,
Bacillus,539,308-461,,,,,
Bacillus,540,0-48,205-501,,,,
Bacillus,541,337-453,,,,,
Bacillus,542,272-318,349-489,,,,
Bacillus,543,94-180,250-362,,,,
Bacillus,544,228-362,,,,,
Bacillus,545,449-511,,,,,
Bacillus,546,244-490,,,,,
Bacillus,547,21-79,205-325,392-429,440-506,,
Bacillus,548,242-293,470-572,,,,
Bacillus,549,152-196,232-315,382-494,,,
Bacillus,550,273-341,412-468,,,,
Bacillus,551,301-387,,,,,
Bacillus,552,236-281,310-477,,,,
Bacillus,553,19-79,267-308,351-462,,,
Bacillus,554,185-257,291-343,352-389,393-549,,
Bacillus,555,186-432,,,,,
Bacillus,556,387-502,,,,,
Bacillus,557,211-251,291-359,409-499,,,
Bacillus,558,46-93,253-549,,,,
Bacillus,559,247-487,,,,,
Bacillus,560,344-575,,,,,
Bacillus,561,221-516,,,,,
Bacillus,562,365-475,,,,,
Bacillus,563,188-417,,,,,
Bacillus,564,0-89,287-447,,,,
Bacillus,565,337-456,,,,,
Bacillus,566,98-175,416-454,462-569,,,
Bacillus,567,0-42,242-506,,,,
Bacillus,568,375-537,,,,,
Bacillus,569,328-449,,,,,
Bacillus,570,94-185,240-338,380-442,,,
Bacillus,571,368-432,550-587,,,,
Bacillus,572,317-498,,,,,
Bacillus,573,0-156,164-253,316-502,,,
Bacillus,574,42-104,314-487,,,,
Bacillus,575,349-506,,,,,
Bacillus,576,158-413,,,,,
Bacillus,577,0-43,294-463,,,,
Bacillus,578,354-520,,,,,
Bacillus,579,380-471,,,,,
Bacillus,580,199-238,344-494,537-613,,,
Bacillus,581,271-528,,,,,
Bacillus,582,28-121,132-211,428-475,480-522,,
Bacillus,583,0-87,247-351,357-467,538-578,,
Bacillus,584,256-514,,,,,
Bacillus,585,336-531,,,,,
Bacillus,586,314-488,,,,,
Bacillus,587,322-439,,,,,
Bacillus,588,342-432,559-613,,,,
Bacillus,589,47-119,180-268,,,,
Bacillus,590,390-445,513-613,,,,
Bacillus,591,0-44,49-162,318-479,,,
Bacillus,592,206-302,323-457,,,,
Bacillus,593,108-202,294-482,531-613,,,
Bacillus,594,258-297,310-382,439-562,,,
Bacillus,595,259-467,,,,,
Bacillus,596,404-469,569-613,,,,
Bacillus,597,52-124,268-331,,,,
Bacillus,598,30-100,212-250,361-453,,,
Bacillus,599,382-613,,,,,
Bacillus,600,294-517,,,,,
Bacillus,601,237-403,,,,,
Bacillus,602,286-349,369-447,,,,
Bacillus,603,274-479,576-613,,,,
Bacillus,604,69-191,221-577,,,,
Bacillus,605,367-451,,,,,
Bacillus,606,3-113,405-457,466-613,,,
Bacillus,607,290-463,,,,,
Bacillus,608,31-103,327-468,,,,
Bacillus,609,345-466,,,,,
Bacillus,610,0-83,367-417,,,,
Bacillus,611,223-508,,,,,
Bacillus,612,76-213,284-338,,,,
Bacillus,613,60-253,339-605,,,,
Bacillus,614,203-485,,,,,
Bacillus,615,206-271,388-508,,,,
Bacillus,616,314-452,539-594,,,,
Bacillus,617,4-109,266-511,,,,
Bacillus,618,249-291,299-355,361-493,,,
Bacillus,619,284-353,357-442,,,,
Bacillus,620,341-490,,,,,
Bacillus,621,42-114,199-244,392-463,,,
Bacillus,622,343-474,512-570,,,,
Bacillus,623,0-92,397-497,,,,
Bacillus,624,420-514,,,,,
Bacillus,625,160-274,306-405,499-546,,,
Bacillus,626,181-524,,,,,
Bacillus,627,181-258,,,,,
Bacillus,628,243-286,358-452,,,,
Bacillus,629,347-462,,,,,
Bacillus,630,106-173,231-322,452-494,,,
Bacillus,631,181-250,346-491,,,,
Bacillus,632,,,,,,
Bacillus,633,77-118,387-478,,,,
Bacillus,634,158-249,523-613,,,,
Bacillus,635,55-256,386-458,,,,
Bacillus,636,346-579,,,,,
Bacillus,637,300-444,466-517,,,,
Bacillus,638,314-411,,,,,
Bacillus,639,254-520,,,,,
Bacillus,640,0-105,331-495,,,,
Bacillus,641,311-482,507-592,,,,
Bacillus,642,374-504,,,,,
Bacillus,643,377-593,,,,,
Bacillus,644,358-408,462-525,,,,
Bacillus,645,308-429,435-492,513-551,,,
Bacillus,646,343-480,550-600,,,,
Bacillus,647,325-529,,,,,
Bacillus,648,70-136,148-224,229-495,537-613,,
Bacillus,649,373-556,,,,,
Bacillus,650,296-471,,,,,
Bacillus,651,381-477,532-581,,,,
Bacillus,652,384-453,,,,,
Bacillus,653,275-466,515-563,,,,
Bacillus,654,310-350,365-439,448-503,,,
Bacillus,655,337-520,,,,,
Bacillus,656,130-199,356-412,474-594,,,
Bacillus,657,224-340,372-430,,,,
Bacillus,658,374-480,,,,,
Bacillus,659,356-451,,,,,
Bacillus,660,311-443,,,,,
Bacillus,661,18-80,401-509,,,,
Bacillus,662,149-195,430-500,,,,
Bacillus,663,308-578,,,,,
Bacillus,664,385-613,,,,,
Bacillus,665,325-548,,,,,
Bacillus,666,290-444,,,,,
Bacillus,667,205-446,,,,,
Bacillus,668,245-613,,,,,
Bacillus,669,328-425,,,,,
Bacillus,670,298-439,,,,,
Bacillus,671,,,,,,
Bacillus,672,85-128,285-466,,,,
Bacillus,673,123-198,203-309,430-491,,,
Bacillus,674,283-476,,,,,
Bacillus,675,0-64,244-311,349-439,505-613,,
Bacillus,676,193-277,423-466,,,,
Bacillus,677,306-466,514-567,,,,
Bacillus,678,243-319,377-469,,,,
Bacillus,679,346-441,462-527,,,,
Bacillus,680,281-509,,,,,
Bacillus,681,195-256,298-492,,,,
Bacillus,682,201-299,313-492,551-600,,,
Bacillus,683,4-61,329-548,,,,
Bacillus,684,,,,,,
Bacillus,685,0-36,76-147,270-356,397-505,,
Bacillus,686,20-76,269-373,388-481,,,
Bacillus,687,261-318,371-426,544-607,,,
Bacillus,688,154-453,,,,,
Bacillus,689,150-230,374-457,,,,
Bacillus,690,324-490,538-598,,,,
Bacillus,691,152-230,289-353,416-481,,,
Bacillus,692,187-232,379-607,,,,
Bacillus,693,319-480,,,,,
Bacillus,694,239-453,471-539,,,,
Bacillus,695,209-290,316-439,,,,
Bacillus,696,323-539,,,,,
Bacillus,697,370-472,489-613,,,,
Bacillus,698,359-478,,,,,
Bacillus,699,0-37,364-613,,,,
Bacillus,700,129-195,317-451,,,,
Bacillus,701,241-464,,,,,
Bacillus,702,279-474,,,,,
Bacillus,703,401-501,,,,,
Bacillus,704,368-487,,,,,
Bacillus,705,330-447,546-613,,,,
Bacillus,706,334-495,,,,,
Bacillus,707,216-561,,,,,
Bacillus,708,158-343,379-478,487-525,,,
Bacillus,709,74-129,393-444,,,,
Bacillus,710,,,,,,
Bacillus,711,0-36,330-401,,,,
Bacillus,712,0-37,354-454,,,,
Bacillus,713,243-298,377-428,,,,
Bacillus,714,329-418,479-549,,,,
Bacillus,715,225-288,331-554,,,,
Bacillus,716,276-466,,,,,
Bacillus,717,354-469,,,,,
Bacillus,718,0-76,456-510,,,,
Bacillus,719,148-262,279-416,,,,
Bacillus,720,220-397,450-510,,,,
