Seq,Positions
289,128-170,276-335,451-515
290,370-527
291,443-512
292,356-407
293,435-506
294,565-613
295,324-391,410-503
296,395-555
297,
298,
299,
300,262-359,428-486
301,410-451,571-613
302,362-420
303,368-482
304,447-487,491-553
305,388-491
306,353-469
307,
308,
309,417-485
310,260-338,344-501
311,22-134,430-515
312,347-413,427-485
313,358-437
314,
315,146-200,258-363
316,
317,
318,524-580
319,471-513
320,225-321
321,430-474,556-613
322,334-392,412-504
323,356-419,466-572
324,393-507
325,256-390,437-535
326,69-110
327,269-326,492-548
328,341-441
329,342-436,501-569
330,
331,321-381,438-543
332,11-47
333,315-399
334,308-378
335,1-146,167-229,510-608
336,235-271,424-514
337,537-599
338,
339,
340,396-450
341,390-464
342,388-555
343,0-43,326-368
344,293-352
345,
346,101-142
347,275-344,469-513
348,285-325,400-492
349,133-170
350,399-522
351,304-383,404-513
352,366-441,459-507
353,314-355,507-593
354,30-87,574-613
355,
356,546-603
357,315-487
358,336-425
359,227-274
360,396-605
361,199-273,292-356,376-418
362,299-437,442-516
363,0-223
364,406-483
365,
366,
367,330-494
368,408-508
369,416-463,512-548
370,363-498
371,
372,372-478,559-603
373,156-207,341-434
374,501-612
375,424-559
376,234-302
377,308-438,454-587
378,389-464
379,403-464
380,365-408
381,442-487,495-613
382,497-537
383,368-531
384,368-470
385,406-453
386,57-160
387,219-255,455-492
388,171-228,388-450
389,469-556
390,423-503
391,232-302
392,
393,393-505
394,415-495
395,
396,428-512
397,
398,225-293,330-457
399,409-482
400,341-382,430-575
401,99-164,300-369,506-552
402,387-480
403,396-511
404,532-613
405,387-441
406,247-295,467-525
407,
408,368-404,408-483,569-613
409,372-527
410,522-572
411,296-393,521-575
412,323-371,417-501
413,
414,0-128
415,374-450
416,387-494
417,419-484
418,457-507,515-569
419,236-291
420,312-355
421,520-602
422,
423,66-169
424,356-496
425,330-539
426,308-453,547-587
427,571-613
428,502-613
429,361-462
430,422-486
431,120-187,347-391
432,440-506
433,343-496
434,350-498
435,
436,399-439,511-558
437,282-323,402-457
438,383-486
439,401-586
440,368-424
441,346-394,487-532
442,530-575
443,119-213
444,410-613
445,38-182
446,308-420,424-461
447,211-262
448,535-613
449,384-546
450,109-168,244-319
451,506-567
452,285-360,428-489
453,361-413
454,
455,336-442,547-590
456,517-613
457,33-81,513-613
458,20-108
459,128-174,317-407
460,354-498,504-542
461,286-327,392-434
462,201-437
463,101-192
464,452-503
465,561-613
466,132-170
467,216-266,404-449
468,356-431
469,300-441,488-527
470,
471,
472,279-324,455-516
473,435-471
474,395-522
475,224-344,394-453
476,305-444,470-530
477,115-158
478,287-421
479,319-407
480,
481,361-443
482,524-571
483,0-65
484,518-613
485,415-514
486,71-120,401-438
487,72-114,395-498
488,312-428
489,274-391
490,0-57,371-477
491,
492,390-538
493,402-440,513-555
494,228-403
495,407-471
496,71-107
497,43-97
498,384-529
499,
500,309-375,432-489
501,474-528
502,1-51
503,349-437
504,
505,356-514
506,363-492
507,314-380,402-466
508,
509,393-461
510,169-209
511,80-122
512,132-170
513,385-433,516-552
514,244-348,477-523
515,
516,
517,
518,0-48,158-201
519,2-56,456-505,544-595
520,431-613
521,225-279,336-388,463-504
522,435-478
523,530-574
524,402-452
525,259-308,336-420
526,347-447
527,446-612
528,0-83,364-431,497-594
529,149-197
530,417-508
531,470-527
532,361-422
533,276-334
534,330-439
535,251-327,426-490
536,
537,348-438
538,383-505
539,547-611
540,336-478
541,436-494
542,
543,395-480
544,
545,354-469
546,
547,
548,280-332,396-508
549,263-344,400-463
550,266-354
551,516-554
552,341-391,451-493
553,331-464
554,
555,348-482
556,440-477
557,310-376
558,
559,363-447
560,288-354
561,435-502
562,395-468
563,0-48,88-149,446-572
564,361-418
565,282-323
566,
567,157-264,572-613
568,414-488
569,214-360,436-493
570,561-600
571,434-500
572,268-330,433-470
573,
574,443-489
575,
576,471-534
577,343-381
578,56-122,462-505
579,465-516
580,393-435
581,261-358,404-515
582,363-413,470-572
583,330-441
584,383-435
585,91-142,423-507
586,359-430
587,198-240,526-611
588,
589,340-440,472-511
590,
591,400-509
592,264-310,391-436
593,402-442
594,210-249,259-322
595,
596,406-542,561-613
597,
598,277-359
599,181-280
600,
601,295-349,384-424,489-531
602,176-253,341-412,558-613
603,351-563
604,360-439
605,174-211
606,30-103,257-309,429-508
607,362-433
608,373-443
609,
610,393-484
611,519-577
612,
613,298-354
614,346-391
615,310-379,435-492
616,
617,333-403,414-482
618,0-38
619,406-490
620,324-368
621,393-529
622,327-419
623,
624,350-412
625,267-360,372-411,419-510
626,411-516
627,388-433,454-574
628,263-345,416-459
629,326-487,532-587
630,383-463,472-584
631,
632,356-464
633,0-37
634,405-460
635,226-263,321-505
636,404-479,490-526
637,342-469
638,310-357,369-462
639,50-167
640,291-364
641,212-266,337-444
642,408-462,469-547
643,459-518
644,123-163,444-499
645,
646,377-461
647,382-461
648,382-422,485-563
649,272-337,435-529
650,315-389
651,368-406
652,320-359,455-519
653,
654,
655,286-330,336-407,454-501
656,525-604
657,345-405
658,176-223
659,
660,148-188
661,360-427
662,399-468
663,332-375
664,425-511
665,0-46,429-552
666,428-496
667,451-500
668,0-146,472-546
669,362-491
670,419-485
671,388-437
672,431-586
673,429-509
674,397-548
675,435-476
676,67-211,245-301
677,518-613
678,68-122,238-286,403-517
679,181-265,546-584
680,
681,436-487
682,105-156,297-384
683,0-82
684,
685,444-489,498-594
686,284-335
687,316-367
688,384-439,444-523
689,272-367,376-515
690,441-482
691,530-613
692,347-464
693,303-382,400-456
694,509-560
695,
696,393-431
697,290-448
698,468-522
699,228-271
700,244-318,383-475
701,301-425
702,
703,355-478,535-576
704,423-499
705,414-516
706,142-395
707,360-496
708,303-365,379-428,450-530
709,436-528
710,294-372
711,99-182
712,394-431,468-549
713,195-303,435-474
714,372-476
715,309-361
716,435-510
717,243-329
718,293-344,441-484
719,
720,365-458
721,282-356
722,237-287
723,379-451
724,263-318,399-449
725,376-442
726,400-502
727,
728,550-598
729,329-431
730,240-284,363-435
731,
732,323-359
733,192-238,343-423,435-471
734,392-507
735,405-496,536-578
736,263-301
737,318-491
738,205-258
739,423-482
740,0-95,141-202
741,0-47,162-203,342-378
742,503-598
743,266-321,358-490
744,386-555
745,421-478
746,262-301,453-510
747,351-399
748,156-237,291-338
749,131-189
750,55-94
751,279-359,388-442,464-558
752,398-454
753,306-346,468-568
754,
755,379-491
756,296-384
757,320-369,375-416
758,
759,272-315,511-551
760,304-345,465-583
761,230-281
762,458-525
763,341-508
764,246-416
765,246-282
766,
767,79-124,513-562,566-613
768,358-478
769,
770,73-169
771,
772,351-400
773,513-613
774,444-498,519-613
775,257-482
776,386-455
777,
778,364-441,448-506
779,461-570
780,268-493
781,445-539
782,30-82,385-489
783,293-365
784,384-433
785,325-392,414-484
786,416-519
787,395-470
788,188-246
789,
790,213-339,428-481
791,392-562
792,384-444,498-541
793,
794,355-406
795,294-446
796,0-52
797,423-491
798,329-377,406-471
799,374-440
800,326-391
801,360-439,562-602
802,539-594
803,494-532
804,379-494
805,285-461
806,
807,452-510
808,522-576
809,252-424
810,
811,281-320
812,538-610
813,407-455
814,388-587
815,278-375,417-524
816,423-461
817,1-56,167-246,387-446
818,
819,385-450,570-607
820,427-479
821,311-438,461-510
822,422-472
823,435-488
824,200-280,432-479
825,400-468
826,248-344
827,
828,445-487
829,428-480
830,323-457
831,57-119,400-471
832,44-85,438-524
833,249-333
834,321-406,413-484
835,260-322,453-500
836,184-256,564-613
837,398-489
838,409-588
839,86-157
840,402-474
841,322-422,469-601
842,553-609
843,381-437
844,335-377
845,555-610
846,0-65,449-491,520-582
847,505-603
848,177-224,352-456
849,183-235,279-337
850,415-468
851,206-334
852,386-478,559-613
853,0-103
854,101-145,155-231,576-613
855,542-605
856,77-131,429-481
857,437-529
858,
859,399-452,543-613
860,143-219,278-325
861,124-161
862,382-439
863,574-612
864,312-353
865,418-491,571-613
866,305-383,456-499
867,421-479,560-599
868,373-423
869,388-522
870,311-456
871,197-333,416-463
872,547-594
873,
874,420-501
875,
876,
877,422-493
878,267-325
879,253-320
880,
881,390-449
882,353-459
883,410-486
884,503-539
885,435-487
886,272-333
887,296-387,443-510
888,406-456
889,
890,268-387
891,247-462
892,419-483,572-610
893,333-443
894,417-475
895,327-456
896,0-38,186-262,392-465
897,248-382
898,322-411
899,461-506
900,408-480
901,103-145,460-510
902,386-487
903,346-389,399-450,454-492
904,428-483,573-613
905,377-413
906,
907,414-489,534-612
908,0-52,82-133
909,
910,416-457
911,332-373,391-463
912,
913,388-448
914,394-482
915,309-483
916,243-296
917,168-209
918,533-613
919,
920,
921,427-563
922,
923,
924,279-343,413-491
925,434-485,528-613
926,465-513
927,29-79
928,502-575
929,
930,
931,340-439,486-553
932,218-265,401-463
933,431-515
934,245-290
935,415-475
936,421-507
937,306-445
938,288-451,457-531
939,
940,434-486,494-531
941,161-201,482-548
942,489-545
943,341-379,458-517
944,
945,196-285,435-473,566-613
946,399-466
947,363-434
948,288-386
949,432-485
950,
951,373-466
952,413-471
953,357-436
954,
955,114-242
956,462-534
957,406-465
958,520-589
959,474-521
960,222-265,324-383
961,410-516
962,399-458
963,103-195
964,306-386,430-478
965,383-468
966,279-322,374-510
967,104-192
968,398-479
969,404-443,448-531
970,376-442,451-525
971,236-378
972,462-515
973,
974,421-476
975,325-457
976,349-399,430-484
977,386-432
978,366-476
979,382-461
980,291-328,403-461
981,226-291,408-483
982,223-328,435-472
983,399-489
984,293-338
985,0-47,404-450
986,
987,406-478
988,433-482
989,
990,
991,400-479,562-611
992,472-531
993,359-398
994,286-475
995,344-384
996,324-392
997,462-510
998,311-353,392-470
999,393-446
1000,365-476
1001,30-141,450-488
1002,266-354
1003,325-363
1004,
1005,385-460,467-503
1006,501-613
1007,393-495
1008,479-553
1009,322-389,494-583
1010,394-488
1011,468-540
1012,358-429
1013,395-446,545-585
1014,315-373
1015,457-522
1016,447-487
1017,507-553
1018,272-359
1019,146-195
1020,363-450
1021,468-520
1022,430-533,557-613
1023,275-343,393-514
1024,135-218
1025,371-467
1026,375-426,462-524
1027,0-36,438-613
1028,276-486
1029,501-552
1030,456-543
1031,360-445
1032,299-456
1033,522-588
1034,177-217,226-267
1035,237-301,327-365
1036,232-302
1037,408-457
1038,230-274
1039,316-467
1040,240-295,346-519
1041,434-556
1042,485-582
1043,544-599
1044,452-491
1045,377-485
1046,411-487
1047,371-432,438-481
1048,411-457
1049,402-447
1050,330-368
1051,281-318
1052,149-192
1053,220-286,377-471
1054,
1055,86-133,414-506
1056,201-311,330-417
1057,282-322,404-459,463-526
1058,
1059,
1060,336-434
1061,65-114,563-603
1062,
1063,378-476
1064,414-487
1065,421-477
1066,295-353
1067,0-46,428-608
1068,46-102
1069,413-494
1070,395-438
1071,516-557
1072,
1073,543-592
1074,
1075,368-446,489-594
1076,348-408
1077,532-613
1078,460-613
1079,319-598
1080,349-396
1081,50-86
1082,
1083,
1084,334-444
1085,392-501,506-572
1086,24-61
1087,330-391,395-435,504-547
1088,305-358,394-433
1089,395-460
1090,329-430
1091,518-613
1092,344-384
1093,295-338
1094,327-394,418-507
1095,369-438,481-554
1096,
1097,
1098,436-497
1099,
1100,553-613
1101,441-487
1102,
1103,363-441
1104,
1105,251-414
1106,
1107,347-538
1108,300-559
1109,377-432,488-564
1110,396-471
1111,401-471
1112,172-230,386-451
1113,419-469
1114,431-474
1115,348-496
1116,274-357
1117,
1118,450-508
1119,
1120,
1121,391-526
1122,423-507
1123,459-556,562-612
1124,272-313,416-474
1125,12-91,376-419
1126,465-546
1127,374-509
1128,324-371
1129,417-492,510-560
1130,400-454,473-531
1131,240-324,410-451,455-502
1132,354-449
1133,
1134,300-338
1135,
1136,397-481
1137,392-525
1138,
1139,296-352,399-488
1140,91-143,434-510
1141,152-211,285-331
1142,267-341
1143,296-451
1144,316-373
1145,424-465
1146,369-425
1147,8-63,214-255,367-493
1148,162-231
1149,381-452
1150,301-382
1151,352-389,396-452
1152,218-281
1153,94-131,192-241,433-471
1154,442-484
1155,245-329
1156,453-510,525-606
1157,
1158,486-533
1159,416-462
1160,408-499
1161,420-490
1162,97-143,294-363
1163,353-470
1164,
1165,366-545
1166,
1167,343-446
1168,305-439
1169,368-437,446-569
1170,336-472
1171,358-468
1172,405-567
1173,372-537
1174,373-523
1175,309-355,405-474
1176,390-464
1177,321-367,431-474
1178,440-605
1179,326-472
1180,417-545
1181,401-478
1182,506-542
1183,278-357
1184,309-477
1185,416-473
1186,
1187,372-513
1188,399-500
1189,402-515
1190,328-385,500-607
1191,119-162,352-397,521-579
1192,149-193,474-581
1193,417-496
1194,81-128,214-250,439-476
1195,376-466
1196,416-460,534-600
1197,210-252
1198,326-426,431-511
1199,487-565
1200,295-346
1201,429-501
1202,218-280,418-485
1203,377-494
1204,
1205,261-464
1206,257-293,394-536
1207,
1208,389-472
1209,379-465
1210,225-311,319-504
1211,457-501
1212,451-498
1213,155-191
1214,374-489
1215,333-445
1216,76-117,425-548
1217,337-478
1218,73-132,413-459
1219,397-579
1220,31-75
1221,382-476,513-578
1222,430-481
1223,236-295,311-372,429-491
1224,373-431,463-525
1225,340-450,474-511
1226,319-370
1227,
1228,242-293,397-471
1229,301-340,422-580
1230,316-474,536-591
1231,343-425
1232,
1233,35-110,531-592
1234,439-510
1235,380-479
1236,431-516
1237,510-558
1238,444-502
1239,
1240,17-59
1241,296-444
1242,434-482
1243,241-286,461-498
1244,482-567
1245,209-245,256-345
1246,
1247,393-460,558-613
1248,13-55
1249,7-54,355-397
1250,438-565
1251,
1252,414-527
1253,421-529
1254,25-80,172-269,382-421
1255,34-86,426-473
1256,48-90,371-457
1257,448-518
1258,29-119
1259,
1260,0-44,460-544
1261,2-70,231-279
1262,519-583
1263,0-90,388-464
1264,406-490
1265,385-523
1266,351-474
1267,389-500
1268,364-418
1269,406-502
1270,372-475
1271,0-38,349-446
1272,277-441
1273,203-482
1274,
1275,
1276,
1277,284-339,439-563
1278,475-551
1279,390-470,484-568
1280,0-59,461-540
1281,375-444
1282,
1283,281-330,362-449
1284,390-497
1285,335-397,552-596
1286,32-120
1287,246-467
1288,306-362,368-417
1289,148-198
1290,348-439
1291,331-517
1292,
1293,428-529
1294,108-192
1295,0-68,395-445
1296,410-453
1297,273-312,410-477
1298,408-566
1299,315-464,518-570
1300,
1301,429-483
1302,381-444,523-596
1303,353-500
1304,
1305,415-453
1306,
1307,381-451,506-583
1308,
1309,409-479,525-603
1310,398-540
1311,341-380,394-456
1312,356-442
1313,231-277,433-493
1314,424-528
1315,0-48,236-276,426-463
1316,465-541
1317,
1318,264-302,402-454
1319,439-518
1320,32-162,251-311
1321,116-152,267-348,451-546
1322,239-291
1323,44-93,384-496
1324,302-403
1325,
1326,353-538
1327,354-390,490-595
1328,184-227,425-463
1329,
1330,373-499,506-542
1331,46-88,542-604
1332,314-466
1333,365-588
1334,0-99,440-499
1335,433-484
1336,
1337,361-546
1338,386-516
1339,372-513
1340,
1341,265-507
1342,233-355,430-477
1343,28-84
1344,341-432
1345,412-502
1346,504-546
1347,
1348,234-280
1349,181-228,304-362,404-460,509-583
1350,431-540
1351,220-326,402-472
1352,
1353,
1354,238-317,393-478
1355,352-507
1356,414-469
1357,
1358,0-57,378-545
1359,390-474,513-555
1360,
1361,433-486
1362,356-447
1363,
1364,426-504
1365,406-496
1366,103-178,248-363
1367,394-459
1368,419-494
1369,
1370,183-361
1371,553-602
1372,362-472
1373,
1374,442-488
1375,572-613
1376,223-294,361-466
1377,29-75
1378,177-221,238-339
1379,436-529
1380,423-483
1381,
1382,326-500
1383,430-476
1384,403-500
1385,395-447
1386,415-461
1387,238-313,399-517
1388,151-192
1389,364-445
1390,478-613
1391,383-491
1392,383-437
1393,369-474
1394,214-364
1395,335-458
1396,407-514,538-613
1397,407-445,453-497
1398,
1399,352-474
1400,95-166,337-374
1401,0-57,500-562
1402,568-612
1403,122-179,363-401
1404,340-419
1405,364-444
1406,331-414
1407,400-540
1408,
1409,
1410,344-393,434-484
1411,170-222
1412,390-446
1413,395-499
1414,
1415,
1416,387-451
1417,365-431
1418,395-453
1419,
1420,361-424
1421,364-498
1422,183-219,500-566
1423,23-102,392-444
1424,411-483
1425,279-355,364-558
1426,131-182,489-596
1427,321-368,373-411,431-472,481-519
1428,
1429,369-484
1430,377-544
1431,
1432,188-230,511-573
1433,164-207,232-431
1434,
1435,63-115,465-543,548-597
1436,179-222,229-367
1437,547-613
1438,379-470
1439,475-598
1440,210-250,306-377
1441,18-66,447-502
1442,299-358,468-520
1443,300-480
1444,
1445,
1446,
1447,359-450
1448,389-495
1449,
1450,375-485
1451,454-502
1452,237-282,322-471
1453,288-440,465-507
1454,303-496
1455,21-85,366-523
1456,413-461
1457,226-296,369-474
1458,465-520,562-611
1459,338-439,469-572
1460,
1461,284-324,331-495
1462,343-404
1463,382-448
1464,535-612
1465,152-223,504-565
1466,249-359,471-528
1467,407-491
1468,381-428
1469,396-441,528-613
1470,366-421
1471,210-247,441-487
1472,362-478
1473,483-556
1474,469-549
1475,207-247
1476,388-424
1477,510-560
1478,461-512,518-567
1479,489-613
1480,319-518
1481,
1482,412-448,549-606
1483,297-338
1484,393-457,464-515
1485,
1486,427-599
1487,
1488,
1489,468-528
1490,211-256,380-490
1491,184-237,330-430,546-609
1492,515-567
1493,308-388
1494,254-325,336-373,383-430,446-508
1495,302-361
1496,397-442,456-544
1497,401-489,497-592
1498,213-271,275-367,436-483
1499,45-92
1500,
1501,71-149,430-481,521-582
1502,490-557
1503,278-347,441-487
1504,121-178,249-346
1505,196-293,385-443
1506,395-445
1507,
1508,350-515
1509,115-182,564-613
1510,396-451
1511,264-342
1512,339-476
1513,30-75,515-569
1514,370-459
1515,390-477
1516,
1517,308-405
1518,389-451,533-580
1519,385-470
1520,286-337,468-519
1521,
1522,344-425,575-613
1523,360-466,480-517
1524,393-449
1525,423-469
1526,7-100,135-194
1527,203-263
1528,364-431
1529,371-425
1530,401-494
1531,273-440
1532,447-499
1533,
1534,292-376,404-473
1535,374-457
1536,547-613
1537,499-541
1538,
1539,
1540,426-489
1541,463-560
1542,321-600
1543,39-100
1544,286-359,369-466
1545,435-505
1546,
1547,546-613
1548,277-314,505-541
1549,50-98,379-480
1550,380-455
1551,347-469
1552,342-392
1553,18-57,209-253,361-451
1554,560-613
1555,335-385,448-503
1556,207-294,436-486,575-613
1557,138-176,321-409,457-527
1558,418-492,501-585
1559,252-302,426-531
1560,151-251
1561,
1562,
1563,433-479
1564,439-509
1565,147-183
1566,245-286,292-495
1567,234-321
1568,322-401,405-482
1569,409-471
1570,
1571,389-428
1572,210-438,444-489
1573,
1574,364-427,506-571
1575,551-613
1576,420-554,559-613
1577,
1578,374-421
1579,508-613
1580,348-505
1581,
1582,400-501
1583,16-54
1584,370-450
1585,437-515
1586,514-604
1587,339-519
1588,129-284
1589,410-452
1590,324-362,426-532
1591,483-527
1592,472-551
1593,252-319
1594,283-376,472-526
1595,478-517
1596,438-577
1597,515-553
1598,442-479
1599,574-613
1600,392-468
1601,475-562
1602,43-112,171-316
1603,35-86,415-489
1604,268-309,356-405
1605,
1606,368-415,465-515
1607,370-461
1608,39-154,541-613
1609,187-258
1610,315-432,441-487,498-534
1611,393-437
1612,365-408
1613,361-544
1614,424-487
1615,349-472,479-515
1616,500-538
1617,271-365,369-426
1618,351-491
1619,387-446
1620,397-448
1621,
1622,420-488
1623,
1624,64-138
1625,330-392
1626,347-393
1627,
1628,356-418
1629,376-468
1630,420-492
1631,0-44,362-507,557-609
1632,524-571
1633,
1634,489-548
1635,44-146,451-500
1636,
1637,221-263,280-386,406-500
1638,
1639,255-370
1640,236-336,434-515
1641,
1642,281-365,428-516
1643,577-613
1644,490-557
1645,475-511,531-605
1646,432-536
1647,114-167,448-517
1648,
1649,400-527
1650,350-386
1651,
1652,389-495
1653,316-459
1654,395-446
1655,317-499
1656,131-193
1657,219-343
1658,
1659,71-117
1660,492-554
1661,71-113,168-267,275-350
1662,489-537
1663,445-582
1664,362-409,431-486
1665,418-493
1666,310-358,459-518
1667,428-499
1668,363-442,525-567
1669,416-452,515-580
1670,348-399
1671,360-594
1672,19-55,478-531
1673,9-53,515-613
1674,399-437
1675,315-367
1676,308-358,371-452,508-587
1677,203-258
1678,426-570
1679,168-210,390-447
1680,237-376,390-485
1681,338-380,427-491
1682,209-272,384-488
1683,279-321,373-496
1684,382-474,518-613
1685,
1686,339-379
1687,400-571
1688,368-426
1689,
1690,
1691,431-478
1692,233-303,403-507
1693,368-405
1694,316-355,430-470,545-595
1695,392-469
1696,395-469,485-555
1697,331-391,509-579
1698,394-487
1699,522-576
1700,180-223,284-324
1701,369-439
1702,319-445
1703,
1704,457-613
1705,453-540
1706,397-479,515-583
1707,531-569
1708,379-467
1709,120-208,318-369
1710,205-244,261-318,436-477
1711,105-155
1712,472-544
1713,
1714,259-349,401-515
1715,
1716,391-431
1717,430-500
1718,
1719,287-331,337-388,424-505
1720,
1721,21-119,430-558
1722,428-529
1723,258-487
1724,
1725,434-485
1726,365-439
1727,52-107,449-515
1728,
1729,
1730,200-315
1731,434-479
1732,
1733,368-482
1734,
1735,97-141,434-472
1736,308-470
1737,246-284,435-479
1738,507-543
1739,410-500
1740,502-545
1741,57-103,433-469
1742,439-480
1743,296-492
1744,345-381,571-613
1745,217-264
1746,317-365,472-543
1747,35-73
1748,330-390
1749,394-567
1750,101-152
1751,467-546
1752,0-69,358-485
1753,81-118,299-360,421-562
1754,
1755,402-454
1756,73-115,430-523
1757,120-163,468-551
1758,279-405
1759,
1760,373-444
1761,368-439
1762,368-415
1763,0-94,429-489
1764,494-609
1765,386-508
1766,367-439
1767,358-427,540-605
1768,356-488,544-585
1769,0-36,366-497
1770,440-501
1771,325-500
1772,393-435
1773,465-597
1774,480-522
1775,460-504
1776,283-338,394-558
1777,415-495
1778,161-198,278-322
1779,470-509
1780,211-257,352-428,434-477
1781,
1782,415-457
1783,51-110,416-498
1784,
1785,284-441
1786,536-613
1787,2-140,470-516
1788,401-462
1789,469-520
1790,391-511
1791,
1792,405-488,492-550
1793,455-516
1794,281-452,459-533
1795,199-291
1796,429-484
1797,92-131,293-356
1798,240-323,368-426,433-470
1799,288-334,393-452,500-567
1800,420-494
1801,
1802,422-532
1803,21-104
1804,519-613
1805,429-613
1806,449-521
1807,40-89,223-313,445-502
1808,
1809,412-469
1810,504-583
1811,411-491
1812,479-538
1813,445-486
1814,419-538
1815,331-443
1816,424-488
1817,430-507
1818,392-485
1819,426-484
1820,460-513
1821,
1822,31-89,478-525
1823,407-459
1824,518-602
1825,
1826,
1827,330-451,461-577
1828,464-500
1829,318-518
1830,327-371,492-549
1831,
1832,398-463,497-588
1833,561-613
1834,
1835,
1836,368-482
1837,
1838,183-263
1839,
1840,26-102
1841,320-369,391-464
1842,377-433
1843,557-601
1844,453-503
1845,416-573
1846,497-545
1847,438-546
1848,409-449
1849,397-497
1850,423-481
1851,489-589
1852,431-479
1853,
1854,387-448,458-550
1855,467-541
1856,202-266,323-444
1857,404-485
1858,454-566
1859,507-578
1860,255-309,357-407
1861,328-365
1862,401-467
1863,
1864,
1865,310-383
1866,419-475
1867,406-605
1868,
1869,75-145,291-354
1870,184-225,340-389
1871,
1872,249-331,435-488
1873,393-515,520-584
1874,216-255,321-371,395-495
1875,434-474
1876,404-474
1877,541-577
1878,359-421
1879,457-513
1880,66-122,432-473
1881,368-425
1882,25-63
1883,250-286,442-523
1884,
1885,464-528
1886,401-482
1887,399-459
1888,414-466,528-573
1889,367-423
1890,286-445
1891,152-193
1892,297-397
1893,
1894,296-349,370-465
1895,347-515
1896,
1897,421-480
1898,307-363,416-474
1899,359-404,487-613
1900,270-407
1901,350-399
1902,401-482
1903,436-474
1904,
1905,571-613
1906,299-341,497-541
1907,391-439
1908,
1909,246-386,403-481
1910,0-53
1911,69-135,259-302,416-538
